Date,Open,High,Low,Close,Volume
2024-12-02,165.0,165.11,164.74,164.81,76823560
2024-12-03,164.81,166.92,163.56,166.3,44346941
2024-12-04,166.3,166.38,165.82,165.97,41326798
2024-12-05,165.97,168.7,165.06,168.39,67247074
2024-12-06,168.39,169.88,168.36,168.99,80290962
2024-12-09,168.99,169.19,168.3,168.88,47773974
2024-12-10,168.88,170.91,168.63,170.75,82374718
2024-12-11,170.75,172.35,170.0,171.36,76486589
2024-12-12,171.36,171.78,165.47,166.08,81470233
2024-12-13,166.08,168.91,165.18,167.93,68867607
2024-12-16,167.93,168.13,167.78,167.86,43989598
2024-12-17,167.86,169.64,167.55,169.61,53898680
2024-12-18,169.61,170.1,168.12,168.44,53348891
2024-12-19,168.44,170.45,168.06,169.55,70456550
2024-12-20,169.55,172.19,169.21,171.22,89476167
2024-12-23,171.22,173.6,170.55,173.04,74230712
2024-12-24,173.04,176.13,173.02,175.12,55772652
2024-12-25,175.12,175.81,174.64,175.76,87145485
2024-12-26,175.76,177.6,175.37,177.17,85727379
2024-12-27,177.17,177.71,175.37,175.51,52331375
2024-12-30,175.51,175.72,172.81,174.09,59970025
2024-12-31,174.09,174.55,169.59,171.93,65476314
2025-01-01,171.93,172.69,171.18,172.57,79603968
2025-01-02,172.57,174.74,172.45,174.52,59080964
2025-01-03,174.52,177.21,173.16,177.19,40574051
2025-01-06,177.19,177.39,175.48,176.53,66848516
2025-01-07,176.53,177.54,175.74,176.32,62686185
2025-01-08,176.32,179.27,175.91,177.88,53169452
2025-01-09,177.88,177.88,175.43,176.65,54922239
2025-01-10,176.65,177.27,173.79,174.52,47641963
2025-01-13,174.52,175.7,174.37,174.83,40028594
2025-01-14,174.83,174.89,172.28,172.4,86454930
2025-01-15,172.4,176.24,172.32,175.33,83900479
2025-01-16,175.33,176.4,175.23,176.12,64299523
2025-01-17,176.12,179.98,176.08,179.47,63764118
2025-01-20,179.47,180.01,178.28,178.45,83621652
2025-01-21,178.45,178.68,176.14,177.25,50057553
2025-01-22,177.25,178.13,174.39,176.52,72493902
2025-01-23,176.52,176.84,173.9,174.26,56904278
2025-01-24,174.26,175.82,173.99,175.39,51010869
