Date,Open,High,Low,Close,Volume
2024-12-02,205.0,210.73,201.28,208.83,30230439
2024-12-03,208.83,211.77,204.72,204.85,44712820
2024-12-04,204.85,207.52,202.17,205.98,43012569
2024-12-05,205.98,206.18,203.62,205.84,33837802
2024-12-06,205.84,206.62,205.17,205.97,56961892
2024-12-09,205.97,208.69,203.03,203.3,58184926
2024-12-10,203.3,203.5,202.17,203.39,55802602
2024-12-11,203.39,206.29,202.38,204.06,69777122
2024-12-12,204.06,207.31,203.81,206.22,25130774
2024-12-13,206.22,206.82,204.92,205.69,42857577
2024-12-16,205.69,209.45,204.51,206.75,56196477
2024-12-17,206.75,207.85,205.28,205.45,71829545
2024-12-18,205.45,206.9,203.04,205.73,68564279
2024-12-19,205.73,209.67,203.69,209.24,38211991
2024-12-20,209.24,215.65,207.44,215.43,57280205
2024-12-23,215.43,220.18,212.36,214.1,61676118
2024-12-24,214.1,219.02,211.56,214.38,45299436
2024-12-25,214.38,216.07,213.64,216.01,63943611
2024-12-26,216.01,221.87,214.89,221.65,34975913
2024-12-27,221.65,223.7,219.31,220.96,57078498
2024-12-30,220.96,223.49,220.28,222.22,27424538
2024-12-31,222.22,228.95,219.73,225.92,60769930
2025-01-01,225.92,235.01,225.84,234.83,62087747
2025-01-02,234.83,236.44,229.31,229.79,30264084
2025-01-03,229.79,230.78,227.83,230.14,59755461
2025-01-06,230.14,239.04,227.14,236.93,38299385
2025-01-07,236.93,237.77,231.68,232.36,38264812
2025-01-08,232.36,236.14,222.5,227.08,35849776
2025-01-09,227.08,228.13,226.97,227.86,62193933
2025-01-10,227.86,235.0,226.58,231.4,41343569
2025-01-13,231.4,236.05,231.06,234.62,56534802
2025-01-14,234.62,246.32,231.37,245.05,73950670
2025-01-15,245.05,245.94,234.55,236.06,46860700
2025-01-16,236.06,236.55,224.53,227.45,40387541
2025-01-17,227.45,232.27,223.04,229.16,32229745
2025-01-20,229.16,235.2,228.98,234.1,71447441
2025-01-21,234.1,235.17,232.19,232.86,59631260
2025-01-22,232.86,235.71,230.18,233.31,61839263
2025-01-23,233.31,240.51,230.5,239.23,65978166
2025-01-24,239.23,246.83,238.67,246.12,68389613
2025-01-27,246.12,259.66,244.81,256.5,30598486
2025-01-28,256.5,263.81,255.43,258.9,65600950
2025-01-29,258.9,262.51,251.29,252.7,29993854
2025-01-30,252.7,256.17,247.44,249.87,35249671
2025-01-31,249.87,252.25,246.0,247.89,39129661
