Date,Open,High,Low,Close,Volume
2024-12-02,168.0,174.71,166.93,171.25,35491860
2024-12-03,171.25,172.99,170.91,172.04,54073618
2024-12-04,172.04,175.75,171.29,174.35,66010850
2024-12-05,174.35,177.44,173.79,173.96,60166851
2024-12-06,173.96,177.92,173.63,174.77,25179523
2024-12-09,174.77,176.53,174.69,174.9,40097552
2024-12-10,174.9,177.77,173.75,176.7,25087069
2024-12-11,176.7,182.05,173.83,182.04,31002067
2024-12-12,182.04,187.61,181.0,186.49,43611099
2024-12-13,186.49,191.03,181.45,185.04,54458832
2024-12-16,185.04,186.32,182.9,182.98,30085492
2024-12-17,182.98,184.67,181.88,184.02,71779494
2024-12-18,184.02,185.33,183.01,184.1,43667464
2024-12-19,184.1,187.23,183.15,184.03,65598113
2024-12-20,184.03,186.57,177.6,179.39,60978629
2024-12-23,179.39,181.75,177.31,178.06,47543021
2024-12-24,178.06,180.38,177.95,178.2,71338852
2024-12-25,178.2,180.41,176.97,179.21,42183142
2024-12-26,179.21,181.6,176.65,177.81,57799766
2024-12-27,177.81,178.42,175.7,177.53,44718388
2024-12-30,177.53,179.27,176.67,178.49,49853789
2024-12-31,178.49,185.57,175.25,184.93,74823755
2025-01-01,184.93,185.2,183.12,183.36,42097761
2025-01-02,183.36,185.68,182.74,184.7,37917878
2025-01-03,184.7,186.09,178.83,178.83,45694178
2025-01-06,178.83,180.29,175.54,175.76,41910155
2025-01-07,175.76,178.52,175.0,178.06,50169787
2025-01-08,178.06,180.13,175.62,177.81,35798157
2025-01-09,177.81,178.94,176.25,177.58,72697178
2025-01-10,177.58,181.38,175.08,179.58,26090525
2025-01-13,179.58,184.85,178.21,184.35,54358824
2025-01-14,184.35,185.91,182.26,182.26,71341363
2025-01-15,182.26,187.87,181.11,185.12,30452299
2025-01-16,185.12,186.2,183.21,184.78,59103753
2025-01-17,184.78,190.47,183.17,189.54,47866252
2025-01-20,189.54,189.97,185.1,185.24,64114930
2025-01-21,185.24,189.62,184.42,186.09,31398342
2025-01-22,186.09,186.12,181.81,184.03,59929095
2025-01-23,184.03,185.4,181.99,185.01,44404097
2025-01-24,185.01,185.36,182.35,184.45,25523081
2025-01-27,184.45,186.1,181.25,183.42,69188701
2025-01-28,183.42,184.55,182.17,182.35,37352919
2025-01-29,182.35,187.73,182.24,187.12,49915512
2025-01-30,187.12,188.58,185.64,187.82,37862806
2025-01-31,187.82,190.98,184.23,184.29,41902578
2025-02-03,184.29,187.27,183.15,185.18,34903981
2025-02-04,185.18,189.25,184.11,186.76,73492936
2025-02-05,186.76,187.88,184.04,186.77,36540440
2025-02-06,186.77,190.46,185.68,187.8,49788236
2025-02-07,187.8,195.88,186.75,195.43,45851454
2025-02-10,195.43,198.92,190.41,191.4,35647453
2025-02-11,191.4,194.96,191.25,194.06,27592027
2025-02-12,194.06,197.82,191.32,197.2,61636188
2025-02-13,197.2,201.08,193.07,193.13,41462137
2025-02-14,193.13,199.83,193.12,196.24,58221493
2025-02-17,196.24,197.41,194.36,195.47,41584874
2025-02-18,195.47,195.78,195.18,195.67,72775741
2025-02-19,195.67,201.9,192.66,198.79,35370121
2025-02-20,198.79,201.25,194.2,194.97,27462866
