Date,Open,High,Low,Close,Volume
2024-12-02,415.0,416.38,413.26,413.87,51794100
2024-12-03,413.87,414.49,411.73,412.42,50371786
2024-12-04,412.42,418.91,411.36,418.23,46225959
2024-12-05,418.23,420.14,416.99,419.49,36161948
2024-12-06,419.49,424.25,408.15,410.52,73812755
2024-12-09,410.52,415.57,406.76,408.27,39480464
2024-12-10,408.27,411.2,406.52,410.15,34036318
2024-12-11,410.15,422.94,408.28,419.55,43619877
2024-12-12,419.55,419.84,416.21,417.93,59019998
2024-12-13,417.93,421.66,416.89,419.53,54278093
2024-12-16,419.53,420.2,414.23,415.38,37204825
2024-12-17,415.38,418.32,406.12,407.58,68756874
2024-12-18,407.58,409.75,405.94,407.26,45906141
2024-12-19,407.26,407.33,405.65,407.17,49448155
2024-12-20,407.17,416.02,406.85,415.04,68773890
2024-12-23,415.04,416.66,404.51,408.28,54718493
2024-12-24,408.28,409.69,400.01,403.39,48704916
2024-12-25,403.39,403.87,392.2,392.98,60074601
2024-12-26,392.98,399.41,382.62,383.51,44289572
2024-12-27,383.51,383.77,379.61,380.07,48084764
2024-12-30,380.07,382.59,376.13,381.51,31467011
2024-12-31,381.51,384.85,379.04,384.81,68571098
2025-01-01,384.81,391.16,379.87,389.82,65963991
2025-01-02,389.82,391.16,385.31,386.84,45764825
2025-01-03,386.84,390.89,379.11,380.48,33810886
2025-01-06,380.48,380.68,378.18,379.97,49248136
2025-01-07,379.97,380.99,374.38,376.93,43462678
2025-01-08,376.93,382.84,374.48,377.29,59524682
2025-01-09,377.29,377.62,370.39,370.75,69976650
2025-01-10,370.75,371.67,364.73,369.54,64893656
2025-01-13,369.54,371.06,363.29,365.98,28112391
2025-01-14,365.98,371.79,365.31,370.29,33115159
2025-01-15,370.29,370.96,368.28,369.66,30073218
2025-01-16,369.66,370.25,369.25,369.89,68716618
2025-01-17,369.89,370.79,368.03,368.06,43208171
2025-01-20,368.06,376.08,364.82,372.7,74655136
2025-01-21,372.7,373.29,366.53,367.48,42131791
2025-01-22,367.48,369.26,363.01,368.84,33071930
2025-01-23,368.84,381.59,367.51,380.71,52158621
2025-01-24,380.71,383.7,379.94,380.45,73925062
2025-01-27,380.45,388.6,380.29,385.67,33352101
2025-01-28,385.67,391.11,382.61,390.68,63952744
2025-01-29,390.68,392.26,386.42,389.18,67631439
2025-01-30,389.18,390.79,371.61,375.84,61993651
2025-01-31,375.84,379.85,375.48,376.92,26396853
2025-02-03,376.92,378.43,375.05,378.08,59626097
2025-02-04,378.08,384.19,371.33,383.46,72750031
2025-02-05,383.46,384.62,376.67,377.97,36342291
2025-02-06,377.97,380.86,374.22,379.29,67021776
2025-02-07,379.29,382.85,371.62,372.07,64982187
2025-02-10,372.07,380.26,368.51,378.42,62507022
2025-02-11,378.42,379.95,373.82,374.03,64456771
2025-02-12,374.03,377.82,367.55,369.93,45069340
2025-02-13,369.93,373.58,368.03,369.3,33500182
2025-02-14,369.3,372.43,365.7,371.44,32308715
2025-02-17,371.44,374.57,360.82,366.74,57863414
2025-02-18,366.74,369.17,363.14,363.41,73544508
2025-02-19,363.41,365.92,361.08,364.21,71681240
2025-02-20,364.21,366.15,354.92,355.65,37591740
2025-02-21,355.65,356.11,351.4,353.04,54321858
2025-02-24,353.04,355.43,349.55,352.97,42689201
2025-02-25,352.97,363.56,352.18,360.57,70214838
2025-02-26,360.57,363.08,348.77,351.59,51175329
2025-02-27,351.59,354.19,351.3,351.74,34155394
2025-02-28,351.74,360.24,350.53,360.14,61259663
2025-03-03,360.14,367.02,359.42,365.04,50917435
2025-03-04,365.04,366.46,355.11,357.45,37424716
2025-03-05,357.45,362.03,353.51,361.35,50385699
2025-03-06,361.35,362.85,352.1,354.22,55626394
2025-03-07,354.22,356.98,351.73,351.83,59636550
2025-03-10,351.83,352.66,341.33,346.65,59960894
2025-03-11,346.65,352.2,342.88,348.34,37979614
2025-03-12,348.34,350.32,337.81,338.45,31081097
2025-03-13,338.45,339.25,336.34,336.64,37031937
